Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,-7182.89,76,-1.11,-94.07,15000.0,-7182.89,188.14,0.0,-188.14,0.0,-188.14,16112.0
2013-01-01,CNY,-6127.48,68,-1.73,-90.36,15000.0,-6127.48,90.36,0.0,-90.36,0.0,-90.36,16112.0
2013-01-01,COP,5827.64,76,1.51,77.1,15000.0,5827.64,231.31,-0.0,-231.31,0.0,-231.31,16112.0
2013-01-01,CZK,5686.36,39,1.69,145.92,15000.0,5686.36,218.89,0.0,-218.89,0.0,-218.89,16112.0
2013-01-01,HUF,2966.0,104,1.92,28.41,15000.0,2966.0,85.23,0.0,-85.23,0.0,-85.23,16112.0
2013-01-01,INR,4040.98,56,0.84,71.6,15000.0,4040.98,143.2,0.0,-143.2,0.0,-143.2,16112.0
2013-01-01,ILS,5169.34,54,1.74,95.59,15000.0,5169.34,191.17,0.0,-191.17,0.0,-191.17,16112.0
2013-01-01,KRW,0.0,57,0.79,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16112.0
2013-01-01,MXN,-4446.39,46,-0.83,-96.76,15000.0,-4446.39,96.76,-0.0,-96.76,0.0,-96.76,16112.0
2013-01-01,PLN,5540.01,67,2.49,83.13,15000.0,5540.01,124.7,-0.0,-124.7,0.0,-124.7,16112.0
2013-01-01,ZAR,2818.54,66,0.98,42.63,15000.0,2818.54,63.95,0.0,-63.95,0.0,-63.95,16112.0
2013-01-02,CLP,-7182.89,76,-1.14,-94.43,15000.0,0.0,0.0,414.5,414.5,414.5,226.36,16106.0
2013-01-02,CNY,-6127.48,67,-1.75,-90.8,15000.0,0.0,0.0,590.58,590.58,590.58,500.22,16106.0
2013-01-02,COP,5827.64,75,1.53,77.4,15000.0,0.0,0.0,178.17,178.17,178.17,-53.14,16106.0
2013-01-02,CZK,5686.36,39,1.68,146.41,15000.0,0.0,0.0,-533.06,-533.06,-533.06,-751.95,16106.0
2013-01-02,HUF,2966.0,104,1.92,28.5,15000.0,0.0,0.0,167.09,167.09,167.09,81.86,16106.0
2013-01-02,INR,4040.98,56,0.87,71.85,15000.0,0.0,0.0,-14.1,-14.1,-14.1,-157.3,16106.0
2013-01-02,ILS,5169.34,54,1.72,95.79,15000.0,0.0,0.0,-490.75,-490.75,-490.75,-681.93,16106.0
2013-01-02,KRW,0.0,57,0.79,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16106.0
2013-01-02,MXN,-4446.39,46,-0.82,-97.27,15000.0,0.0,0.0,-108.4,-108.4,-108.4,-205.16,16106.0
2013-01-02,PLN,5540.01,67,2.45,82.62,15000.0,0.0,0.0,-604.48,-604.48,-604.48,-729.18,16106.0
2013-01-02,ZAR,2818.54,66,0.98,42.87,15000.0,0.0,0.0,15.51,15.51,15.51,-48.44,16106.0
2013-01-03,CLP,-7182.89,76,-1.16,-94.91,15000.0,0.0,0.0,46.6,46.6,461.1,272.96,16067.0
2013-01-03,CNY,-6127.48,67,-1.77,-91.18,15000.0,0.0,0.0,15.96,15.96,606.55,516.18,16067.0
2013-01-03,COP,5827.64,75,1.55,77.77,15000.0,0.0,0.0,257.63,257.63,435.8,204.49,16067.0
2013-01-03,CZK,5686.36,39,1.66,146.79,15000.0,0.0,0.0,-137.12,-137.12,-670.19,-889.07,16067.0
2013-01-03,HUF,2966.0,103,1.92,28.66,15000.0,0.0,0.0,50.67,50.67,217.76,132.53,16067.0
2013-01-03,INR,4040.98,56,0.89,72.11,15000.0,0.0,0.0,-22.63,-22.63,-36.73,-179.93,16067.0
2013-01-03,ILS,5169.34,54,1.7,95.58,15000.0,0.0,0.0,-146.74,-146.74,-637.49,-828.66,16067.0
2013-01-03,KRW,0.0,57,0.81,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16067.0
